date,region,index,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests,new_tests,new_cases,new_deaths
2020-07-10,MI,140,0.9897420371623938,0.9880647649404404,0.9150171762110336,1.0583621981939022,925.943973241917,890.4462677878889,1130.396283052229,622,23252,23252,622,14
2020-07-11,MI,141,0.9880276239354402,0.9861822238970508,0.9138200855737346,1.0586485592182873,924.1029887867528,901.9590673189232,1059.63969563659,685,27317,27317,685,28
2020-07-12,MI,142,0.9876477405164484,0.9840126367707144,0.8999249375386309,1.0468652276652888,922.1403188540316,912.1145693694784,778.6692947755619,406,22033,22033,406,1
2020-07-13,MI,143,0.9878979396759346,0.9856803148855432,0.9200518715102942,1.06609832675203,919.9478630046692,920.9295179964844,1032.4534314622033,422,17272,17272,422,7
2020-07-14,MI,144,0.9886324236377192,0.9871131909414278,0.9139463248660532,1.064914930654145,917.5690134150212,928.4356004559984,1382.3513379193369,666,20359,20359,666,5
2020-07-15,MI,145,0.9873199488469584,0.9865606711503754,0.9013187056376092,1.0503225054565104,915.1707972979268,934.680121514062,1298.678581120279,1049,34133,34133,1049,4
2020-07-16,MI,146,0.9887361135957682,0.9896366389044724,0.9011030003812612,1.055343997140043,912.8667306602056,939.7280883007086,1436.760095671364,926,27235,27235,926,18
2020-07-17,MI,147,0.9886225034876688,0.9878227070144916,0.9014139438572352,1.052150433284868,910.5353352410172,943.6756507085124,1049.7470980178732,754,30352,30352,754,7
2020-07-18,MI,148,0.9890795158692152,0.9869904857738626,0.9111367164187972,1.0570030210612738,908.2237987035182,946.6427437807292,1029.7530150889474,745,30572,30572,745,9
2020-07-19,MI,149,0.9913398349949304,0.9897767392693322,0.9002939868562447,1.0502768402473015,906.00385439128,948.7452812450632,789.1304946649312,530,28381,28381,530,2
2020-07-20,MI,150,0.9947895019388062,0.9892001702664924,0.913367502669472,1.0611513953480336,903.8709431072853,950.0904924712796,997.2924759742804,527,22330,22330,527,7
2020-07-21,MI,151,0.996451692724827,0.9942710016847038,0.9116837022310432,1.068050615600637,902.0104699142136,950.7871135777532,1242.308354805925,664,22586,22586,664,9
